prop_tag,prop_status,date_time,prop_value
020033R,1,"2020-07-22 05:50:59.402",715
020033R,1,"2020-07-21 15:10:33.045",716
020033R,1,"2020-07-21 14:49:05.139",714
020033R,1,"2020-07-21 13:01:44.631",714
020033R,1,"2020-07-22 05:58:09.814",715
020033R,1,"2020-07-21 16:22:09.543",715
020033R,1,"2020-07-22 09:47:15.657",715
020033R,1,"2020-07-21 07:32:29.045",714
020033R,1,"2020-07-21 11:50:11.664",715
020033R,1,"2020-07-21 21:15:39.842",713
020033R,1,"2020-07-22 04:18:00.700",715
020033R,1,"2020-07-21 21:51:27.324",719
020033R,1,"2020-07-21 07:46:48.985",716
020033R,1,"2020-07-21 12:26:00.443",716
020033R,1,"2020-07-20 19:08:02.542",714
020033R,1,"2020-07-21 00:58:49.064",715
020033R,1,"2020-07-20 17:42:09.434",716
020033R,1,"2020-07-22 00:36:08.277",714
020033R,1,"2020-07-21 21:58:38.608",716
020033R,0,"2020-07-21 14:56:19.969",721
020033R,1,"2020-07-20 12:34:24.767",715
020033R,1,"2020-07-21 10:24:23.448",713
020033R,1,"2020-07-20 19:58:13.301",714
020033R,1,"2020-07-21 16:29:26.407",716
020033R,1,"2020-07-21 22:20:12.021",715
020033R,1,"2020-07-21 22:27:22.800",715
020033R,1,"2020-07-22 09:04:28.969",715
020033R,1,"2020-07-21 10:02:58.538",716
020033R,1,"2020-07-20 19:01:01.089",716
020033R,1,"2020-07-22 07:31:25.387",714
020033R,1,"2020-07-21 05:38:07.493",716
020033R,1,"2020-07-21 12:33:20.349",714
020033R,1,"2020-07-20 11:30:05.710",715
020033R,1,"2020-07-21 15:53:44.204",715
020033R,1,"2020-07-21 14:35:00.951",716
020033R,1,"2020-07-22 08:57:22.452",714
020033R,1,"2020-07-21 06:28:17.258",714
020033R,1,"2020-07-21 08:58:36.631",715
020033R,1,"2020-07-21 16:43:52.917",714
020033R,1,"2020-07-22 00:14:51.175",713
020033R,1,"2020-07-20 21:09:57.459",715
020033R,1,"2020-07-21 09:20:07.610",715
020033R,1,"2020-07-21 13:23:31.667",717
020033R,1,"2020-07-21 01:13:21.556",716
020033R,1,"2020-07-20 21:17:09.416",716
020033R,1,"2020-07-20 22:14:26.158",714
020033R,1,"2020-07-22 01:19:21.546",715
020033R,1,"2020-07-22 03:49:41.266",714
020033R,1,"2020-07-22 07:53:03.769",715
020033R,1,"2020-07-22 04:46:57.859",714
020033R,1,"2020-07-22 05:08:26.701",716
020033R,1,"2020-07-21 12:54:58.456",713
020033R,1,"2020-07-21 14:13:43.962",716
020033R,1,"2020-07-20 11:44:35.408",715
020033R,1,"2020-07-20 12:49:02.105",714
020033R,1,"2020-07-21 07:54:21.976",714
020033R,1,"2020-07-21 09:56:04.226",714
020033R,1,"2020-07-22 05:22:50.718",714
020033R,1,"2020-07-22 05:29:59.732",715
020033R,1,"2020-07-21 14:06:39.070",716
020033R,1,"2020-07-21 05:31:14.464",714
020033R,1,"2020-07-21 18:17:10.546",715
020033R,1,"2020-07-22 05:44:22.922",714
020033R,1,"2020-07-21 15:32:34.804",716
020033R,1,"2020-07-21 21:23:19.054",715
020033R,1,"2020-07-21 20:47:32.840",714
020033R,1,"2020-07-20 17:56:57.431",716
020033R,1,"2020-07-20 16:23:54.422",714
020033R,1,"2020-07-21 13:09:28.847",716
020033R,1,"2020-07-22 06:34:31.911",714
020033R,1,"2020-07-21 00:52:10.644",714
020033R,1,"2020-07-21 03:29:41.479",716
020033R,1,"2020-07-21 21:09:06.656",713
020033R,1,"2020-07-21 02:53:57.768",715
020033R,1,"2020-07-22 01:05:23.633",714
020033R,1,"2020-07-21 17:05:47.775",715
020033R,1,"2020-07-20 12:20:41.385",715
020033R,1,"2020-07-21 06:35:53.767",714
020033R,1,"2020-07-22 00:58:15.250",713
020033R,0,"2020-07-21 10:46:27.401",721
020033R,1,"2020-07-20 22:21:59.955",714
020033R,1,"2020-07-20 14:08:05.541",715
020033R,1,"2020-07-21 08:23:18.386",715
020033R,1,"2020-07-20 16:59:53.172",713
020033R,1,"2020-07-20 16:52:43.936",716
020033R,1,"2020-07-22 00:29:39.454",714
020033R,1,"2020-07-20 17:28:33.916",715
020033R,1,"2020-07-21 20:33:28.127",716
020033R,1,"2020-07-21 12:48:14.376",715
020033R,1,"2020-07-21 12:41:05.231",713
020033R,1,"2020-07-21 07:18:57.019",715
020033R,1,"2020-07-21 12:12:27.249",715
020033R,1,"2020-07-20 17:50:03.618",715
020033R,1,"2020-07-21 23:18:07.871",715
020033R,1,"2020-07-22 02:31:26.903",713
020033R,1,"2020-07-20 13:46:45.099",718
020033R,1,"2020-07-20 11:37:55.283",714
020033R,1,"2020-07-22 06:42:02.154",715
020033R,1,"2020-07-22 01:12:47.086",715
