prop_tag,prop_status,date_time,prop_value
020033L,1,"2020-07-20 23:47:10.236",715
020033L,1,"2020-07-22 07:59:54.775",714
020033L,1,"2020-07-20 14:07:21.247",714
020033L,1,"2020-07-21 03:21:55.584",715
020033L,1,"2020-07-21 17:40:56.165",715
020033L,1,"2020-07-20 21:02:33.398",716
020033L,1,"2020-07-21 17:19:28.916",714
020033L,1,"2020-07-20 14:28:51.685",718
020033L,1,"2020-07-20 19:00:53.417",714
020033L,1,"2020-07-21 09:19:53.394",714
020033L,1,"2020-07-22 09:47:21.022",714
020033L,1,"2020-07-22 04:46:41.712",714
020033L,1,"2020-07-21 07:54:00.430",715
020033L,1,"2020-07-21 21:44:22.846",715
020033L,1,"2020-07-21 14:49:12.667",715
020033L,1,"2020-07-21 13:59:06.404",715
020033L,1,"2020-07-20 23:32:57.706",716
020033L,1,"2020-07-21 19:57:01.774",714
020033L,1,"2020-07-21 14:27:46.483",715
020033L,1,"2020-07-21 16:50:57.146",714
020033L,1,"2020-07-21 07:25:26.850",716
020033L,1,"2020-07-21 03:50:43.788",715
020033L,1,"2020-07-21 14:34:58.866",716
020033L,1,"2020-07-20 20:19:46.385",715
020033L,1,"2020-07-21 21:23:01.628",714
020033L,1,"2020-07-21 16:15:13.468",716
020033L,1,"2020-07-20 19:15:22.687",716
020033L,1,"2020-07-21 15:32:17.299",716
020033L,1,"2020-07-21 13:01:58.699",714
020033L,1,"2020-07-21 09:55:53.719",715
020033L,1,"2020-07-21 23:39:06.103",715
020033L,1,"2020-07-22 08:50:18.122",714
020033L,1,"2020-07-21 14:42:14.803",714
020033L,1,"2020-07-20 15:55:01.067",715
020033L,1,"2020-07-21 06:49:48.730",715
020033L,1,"2020-07-20 15:26:23.529",714
020033L,1,"2020-07-21 05:52:33.110",715
020033L,1,"2020-07-21 20:25:52.180",717
020033L,0,"2020-07-21 20:47:21.704",0
020033L,1,"2020-07-20 19:29:49.311",713
020033L,1,"2020-07-22 03:49:43.363",714
020033L,1,"2020-07-22 04:54:08.749",714
020033L,1,"2020-07-20 13:31:56.182",715
020033L,1,"2020-07-21 04:19:34.150",715
020033L,1,"2020-07-20 19:44:11.158",715
020033L,1,"2020-07-21 21:37:33.339",714
020033L,1,"2020-07-21 00:52:00.685",714
020033L,1,"2020-07-21 23:53:33.491",714
020033L,1,"2020-07-21 17:55:39.791",714
020033L,1,"2020-07-21 08:58:46.662",715
020033L,1,"2020-07-22 09:19:04.331",713
020033L,1,"2020-07-21 18:24:17.037",713
020033L,1,"2020-07-21 16:08:16.994",715
020033L,1,"2020-07-21 11:57:45.504",714
020033L,1,"2020-07-22 06:27:17.947",715
020033L,1,"2020-07-21 13:23:40.318",715
020033L,1,"2020-07-21 10:17:33.332",714
020033L,1,"2020-07-20 20:34:22.125",716
020033L,1,"2020-07-21 20:54:40.028",713
020033L,1,"2020-07-21 12:33:36.169",714
020033L,1,"2020-07-22 01:05:12.950",716
020033L,1,"2020-07-22 05:22:54.766",714
020033L,1,"2020-07-22 00:07:58.275",714
020033L,1,"2020-07-20 14:50:49.704",714
020033L,1,"2020-07-20 17:35:28.609",715
020033L,1,"2020-07-22 08:29:05.438",716
020033L,1,"2020-07-20 14:36:32.099",715
020033L,1,"2020-07-22 07:46:09.188",716
020033L,1,"2020-07-22 07:17:31.058",716
020033L,1,"2020-07-21 15:04:00.173",715
020033L,1,"2020-07-21 04:12:36.905",716
020033L,1,"2020-07-22 01:26:47.821",714
020033L,1,"2020-07-20 13:10:40.634",715
020033L,1,"2020-07-21 02:03:47.015",715
020033L,1,"2020-07-20 12:34:53.932",713
020033L,1,"2020-07-22 05:15:52.624",715
020033L,1,"2020-07-22 07:39:04.009",714
020033L,1,"2020-07-21 22:13:35.647",714
020033L,1,"2020-07-21 05:38:35.619",718
020033L,1,"2020-07-21 11:50:49.480",715
020033L,1,"2020-07-22 04:40:09.605",715
020033L,1,"2020-07-22 07:10:28.510",714
020033L,1,"2020-07-21 17:27:17.547",716
020033L,1,"2020-07-21 01:28:04.622",717
020033L,1,"2020-07-21 12:12:19.957",715
020033L,1,"2020-07-21 19:14:40.582",717
020033L,1,"2020-07-20 19:51:39.140",716
020033L,1,"2020-07-20 16:52:42.019",715
020033L,1,"2020-07-21 14:56:58.897",716
020033L,1,"2020-07-20 17:28:29.531",715
020033L,1,"2020-07-21 17:48:47.791",715
020033L,1,"2020-07-21 22:27:58.922",714
020033L,1,"2020-07-20 14:43:52.285",716
020033L,1,"2020-07-22 06:56:12.534",716
020033L,1,"2020-07-20 21:24:44.695",714
020033L,1,"2020-07-21 04:34:15.542",715
020033L,1,"2020-07-22 09:26:34.769",714
