prop_tag,prop_status,date_time,prop_value
020033R,1,"2020-07-21 18:16:44.065",717
020033R,1,"2020-07-20 21:52:40.260",715
020033R,1,"2020-07-20 11:58:31.949",714
020033R,1,"2020-07-20 16:52:00.722",715
020033R,1,"2020-07-22 00:07:29.252",714
020033R,1,"2020-07-22 05:00:57.815",716
020033R,1,"2020-07-20 19:15:12.667",715
020033R,1,"2020-07-20 13:45:55.524",715
020033R,1,"2020-07-20 18:25:04.970",716
020033R,1,"2020-07-20 17:06:21.754",715
020033R,1,"2020-07-21 10:09:59.645",714
020033R,1,"2020-07-21 02:03:16.476",714
020033R,1,"2020-07-21 12:40:19.082",715
020033R,1,"2020-07-20 14:36:05.950",714
020033R,1,"2020-07-20 20:55:29.998",714
020033R,1,"2020-07-20 18:32:18.242",716
020033R,1,"2020-07-20 12:41:35.200",715
020033R,1,"2020-07-21 04:33:39.618",715
020033R,1,"2020-07-20 16:30:40.495",715
020033R,1,"2020-07-21 02:24:51.113",714
020033R,1,"2020-07-21 20:32:54.726",714
020033R,1,"2020-07-22 09:33:09.124",715
020033R,1,"2020-07-22 05:22:35.749",715
020033R,1,"2020-07-21 11:36:00.519",714
020033R,1,"2020-07-21 10:24:26.268",716
020033R,1,"2020-07-21 12:47:36.099",715
020033R,1,"2020-07-20 16:02:04.615",714
020033R,1,"2020-07-21 16:08:04.213",715
020033R,1,"2020-07-21 14:42:10.202",716
020033R,1,"2020-07-22 01:55:03.148",715
020033R,1,"2020-07-20 17:35:08.921",716
020033R,1,"2020-07-21 12:54:47.758",714
020033R,1,"2020-07-21 03:29:17.739",717
020033R,1,"2020-07-20 22:07:12.659",714
020033R,1,"2020-07-20 19:36:53.383",715
020033R,1,"2020-07-21 01:27:39.940",715
020033R,1,"2020-07-22 08:50:17.023",714
020033R,1,"2020-07-22 03:35:18.369",714
020033R,1,"2020-07-22 02:23:45.291",714
020033R,1,"2020-07-21 08:44:20.165",715
020033R,1,"2020-07-20 23:26:02.259",715
020033R,1,"2020-07-22 04:18:17.779",716
020033R,1,"2020-07-22 06:55:46.766",714
020033R,1,"2020-07-21 18:38:32.593",715
020033R,1,"2020-07-21 01:20:35.606",717
020033R,1,"2020-07-20 19:44:08.556",716
020033R,1,"2020-07-20 19:51:18.858",714
020033R,1,"2020-07-20 22:28:48.845",714
020033R,1,"2020-07-21 14:20:51.217",718
020033R,1,"2020-07-21 21:16:03.441",716
020033R,1,"2020-07-20 18:11:05.355",714
020033R,1,"2020-07-21 03:43:47.618",714
020033R,1,"2020-07-22 10:16:17.497",714
020033R,1,"2020-07-21 17:55:37.324",715
020033R,0,"2020-07-20 17:20:59.419",721
020033R,1,"2020-07-20 23:47:34.379",716
020033R,1,"2020-07-21 06:57:02.760",715
020033R,1,"2020-07-21 12:11:59.534",715
020033R,1,"2020-07-22 03:13:57.609",716
020033R,1,"2020-07-21 07:18:33.846",714
020033R,1,"2020-07-20 13:24:50.785",716
020033R,1,"2020-07-21 21:37:36.581",713
020033R,1,"2020-07-20 21:38:47.687",715
020033R,1,"2020-07-22 07:38:53.362",714
020033R,1,"2020-07-22 03:06:51.869",714
020033R,1,"2020-07-21 12:19:14.125",715
020033R,1,"2020-07-21 06:28:31.104",715
020033R,1,"2020-07-22 03:28:21.260",714
020033R,1,"2020-07-21 04:48:18.969",715
020033R,1,"2020-07-22 07:17:26.854",715
020033R,1,"2020-07-20 20:27:15.182",714
020033R,0,"2020-07-21 09:48:57.850",720
020033R,1,"2020-07-21 17:41:26.670",717
020033R,1,"2020-07-21 19:28:49.419",715
020033R,1,"2020-07-20 17:42:36.172",715
020033R,1,"2020-07-22 09:47:48.417",716
020033R,1,"2020-07-21 03:36:47.745",714
020033R,1,"2020-07-20 18:39:53.599",714
020033R,1,"2020-07-22 01:26:43.188",715
020033R,1,"2020-07-22 00:43:46.631",715
020033R,1,"2020-07-21 12:04:59.287",716
020033R,1,"2020-07-20 18:18:25.225",714
020033R,1,"2020-07-21 16:15:34.316",714
020033R,1,"2020-07-21 17:48:38.104",716
020033R,1,"2020-07-21 07:40:09.710",715
020033R,1,"2020-07-21 07:11:33.051",714
020033R,1,"2020-07-22 00:58:07.308",714
020033R,1,"2020-07-21 14:49:41.325",716
020033R,1,"2020-07-22 05:58:45.992",714
020033R,1,"2020-07-20 14:29:24.086",715
020033R,1,"2020-07-22 04:25:43.868",716
020033R,1,"2020-07-20 21:17:29.421",716
020033R,1,"2020-07-20 16:16:50.583",715
020033R,1,"2020-07-22 08:43:29.984",716
020033R,1,"2020-07-21 03:22:35.992",716
020033R,1,"2020-07-21 20:19:04.343",714
020033R,1,"2020-07-22 01:05:21.201",715
020033R,1,"2020-07-21 07:47:26.787",717
020033R,1,"2020-07-21 20:40:34.342",714
020033R,1,"2020-07-21 02:54:00.108",716
020033R,1,"2020-07-22 01:48:21.988",715
020033R,1,"2020-07-20 23:19:15.465",719
020033R,1,"2020-07-21 04:41:22.157",717
020033R,1,"2020-07-20 20:20:18.314",717
020033R,1,"2020-07-22 06:27:32.801",716
020033R,1,"2020-07-21 13:59:44.703",715
020033R,1,"2020-07-22 00:15:20.784",715
020033R,1,"2020-07-21 16:44:23.777",714
020033R,1,"2020-07-20 14:22:25.068",716
020033R,1,"2020-07-21 10:03:32.333",714
020033R,1,"2020-07-20 20:41:50.441",716
020033R,1,"2020-07-21 09:06:16.983",716
020033R,1,"2020-07-21 15:11:22.846",715
020033R,1,"2020-07-20 15:12:33.474",715
020033R,1,"2020-07-21 22:06:33.604",715
020033R,1,"2020-07-21 06:21:40.044",713
020033R,1,"2020-07-20 12:06:28.459",715
020033R,1,"2020-07-21 18:53:19.754",715
020033R,1,"2020-07-21 00:30:57.822",716
020033R,1,"2020-07-21 14:35:38.177",714
020033R,1,"2020-07-21 07:33:18.635",715
020033R,1,"2020-07-22 08:29:24.878",714
020033R,1,"2020-07-22 06:20:32.323",714
020033R,1,"2020-07-21 18:46:14.520",715
020033R,1,"2020-07-21 19:14:52.863",716
020033R,1,"2020-07-20 16:24:15.339",716
020033R,1,"2020-07-20 15:41:17.952",716
020033R,1,"2020-07-21 22:13:49.659",714
020033R,1,"2020-07-21 04:20:05.520",717
020033R,1,"2020-07-22 06:13:24.846",716
020033R,1,"2020-07-21 05:03:03.090",716
020033R,1,"2020-07-22 09:55:21.450",714
020033R,1,"2020-07-20 17:28:42.269",715
020033R,1,"2020-07-21 05:38:51.036",717
020033R,1,"2020-07-21 05:53:10.272",715
020033R,1,"2020-07-21 14:57:12.532",715
020033R,1,"2020-07-21 16:51:44.951",714
020033R,1,"2020-07-21 13:45:37.743",714
020033R,1,"2020-07-20 23:55:17.621",715
020033R,1,"2020-07-21 17:20:23.944",715
020033R,1,"2020-07-20 13:11:02.044",714
020033R,1,"2020-07-22 02:02:56.752",716
020033R,1,"2020-07-20 19:08:57.942",716
020033R,1,"2020-07-21 05:17:25.438",715
020033R,1,"2020-07-21 04:27:20.023",715
020033R,1,"2020-07-22 07:32:15.379",715
020033R,1,"2020-07-22 07:46:34.649",714
020033R,1,"2020-07-20 21:46:29.543",716
020033R,1,"2020-07-20 13:54:02.097",715
020033R,1,"2020-07-20 19:01:51.397",715
020033R,1,"2020-07-21 22:21:05.625",716
020033R,1,"2020-07-20 13:18:15.104",715
020033R,1,"2020-07-20 15:05:37.968",716
020033R,1,"2020-07-20 19:59:08.048",718
020033R,1,"2020-07-21 18:24:54.294",715
020033R,1,"2020-07-21 19:00:43.238",715
020033R,1,"2020-07-21 16:37:33.258",714
020033R,1,"2020-07-22 07:03:40.773",715
020033R,1,"2020-07-21 06:50:35.629",714
020033R,1,"2020-07-22 08:22:28.754",713
020033R,1,"2020-07-22 07:53:51.634",714
020033R,1,"2020-07-21 13:31:29.678",715
020033R,1,"2020-07-22 10:09:52.829",715
020033R,1,"2020-07-21 04:06:00.452",714
020033R,1,"2020-07-20 12:35:26.239",714
020033R,1,"2020-07-22 00:37:13.581",715
020033R,1,"2020-07-21 18:10:42.447",714
020033R,1,"2020-07-21 08:38:02.770",719
020033R,1,"2020-07-20 12:28:18.763",715
020033R,1,"2020-07-21 18:32:12.860",716
020033R,1,"2020-07-20 18:47:42.954",716
020033R,1,"2020-07-20 11:31:04.051",715
020033R,1,"2020-07-22 10:24:16.076",715
020033R,1,"2020-07-20 22:15:20.165",714
020033R,1,"2020-07-21 21:02:34.765",715
020033R,1,"2020-07-21 03:16:00.324",717
020033R,1,"2020-07-21 19:22:22.416",716
020033R,1,"2020-07-20 12:49:50.634",716
020033R,1,"2020-07-21 22:28:28.757",715
020033R,1,"2020-07-22 07:25:21.617",714
020033R,1,"2020-07-22 05:45:07.914",714
020033R,1,"2020-07-21 01:14:21.379",714
020033R,1,"2020-07-21 09:21:04.720",714
020033R,1,"2020-07-21 08:23:49.767",714
020033R,1,"2020-07-21 09:13:56.179",715
020033R,1,"2020-07-20 12:21:17.042",717
020033R,1,"2020-07-22 04:33:37.204",715
020033R,1,"2020-07-21 11:29:59.385",714
020033R,1,"2020-07-21 21:52:48.475",714
020033R,1,"2020-07-21 00:02:51.313",716
020033R,1,"2020-07-21 17:06:28.939",715
020033R,1,"2020-07-22 02:53:26.028",714
020033R,1,"2020-07-21 21:59:58.121",715
020033R,1,"2020-07-21 08:16:45.515",713
020033R,1,"2020-07-22 02:46:17.089",718
020033R,1,"2020-07-22 08:58:32.030",715
020033R,1,"2020-07-22 01:56:12.605",717
020033R,1,"2020-07-22 04:47:59.560",714
020033R,1,"2020-07-21 07:26:40.795",714
020033R,1,"2020-07-21 01:50:16.722",715
020033R,1,"2020-07-21 05:25:00.210",716
020033R,1,"2020-07-20 17:57:47.547",715
020033R,1,"2020-07-20 21:03:56.435",714
020033R,1,"2020-07-21 05:46:29.178",714
020033R,1,"2020-07-21 03:01:52.818",715
020033R,1,"2020-07-21 20:48:28.729",717
020033R,1,"2020-07-20 14:58:53.559",713
020033R,1,"2020-07-21 16:59:26.334",716
020033R,1,"2020-07-20 17:00:36.209",715
020033R,1,"2020-07-21 19:36:56.050",716
020033R,1,"2020-07-20 15:49:01.742",714
020033R,1,"2020-07-21 11:51:36.477",715
020033R,1,"2020-07-21 05:10:46.107",716
020033R,1,"2020-07-20 14:15:58.818",715
020033R,1,"2020-07-21 02:47:38.063",717
020033R,1,"2020-07-21 14:07:38.993",714
020033R,1,"2020-07-20 14:44:37.117",715
020033R,1,"2020-07-21 13:24:42.382",715
020033R,1,"2020-07-22 00:30:25.116",715
020033R,1,"2020-07-20 14:08:50.616",715
020033R,1,"2020-07-20 15:20:25.422",715
020033R,1,"2020-07-21 02:33:20.275",717
020033R,1,"2020-07-22 05:52:32.538",716
020033R,1,"2020-07-21 15:55:03.046",714
020033R,1,"2020-07-21 21:31:30.712",719
020033R,1,"2020-07-22 09:05:50.510",715
020033R,1,"2020-07-20 22:01:19.834",715
020033R,1,"2020-07-21 17:35:17.264",714
020033R,1,"2020-07-21 15:19:17.978",715
020033R,1,"2020-07-21 07:05:22.233",714
020033R,1,"2020-07-22 09:13:03.553",714
020033R,1,"2020-07-20 23:41:36.779",714
020033R,1,"2020-07-21 12:27:31.774",716
020033R,1,"2020-07-21 10:47:20.124",714
020033R,1,"2020-07-22 04:12:26.624",714
020033R,1,"2020-07-20 21:54:16.921",716
020033R,1,"2020-07-21 14:29:16.516",716
020033R,1,"2020-07-21 12:34:43.162",715
020033R,1,"2020-07-21 11:58:56.310",716
020033R,1,"2020-07-20 23:34:31.330",714
020033R,1,"2020-07-22 09:20:18.348",716
020033R,1,"2020-07-22 01:20:41.204",715
020033R,1,"2020-07-22 05:38:22.512",714
020033R,1,"2020-07-22 00:23:25.883",714
020033R,1,"2020-07-21 00:53:16.984",715
020033R,1,"2020-07-21 13:10:34.637",714
020033R,1,"2020-07-21 13:03:25.512",716
020033R,1,"2020-07-21 21:24:32.408",714
020033R,1,"2020-07-21 21:46:01.062",714
020033R,1,"2020-07-21 09:28:41.107",715
020033R,1,"2020-07-20 17:08:00.184",716
020033R,1,"2020-07-21 16:31:03.196",714
020033R,1,"2020-07-22 03:43:55.512",714
020033R,1,"2020-07-22 09:41:51.669",713
020033R,1,"2020-07-22 05:09:50.090",715
020033R,1,"2020-07-21 00:46:13.269",716
020033R,1,"2020-07-21 02:12:08.234",716
020033R,1,"2020-07-22 01:13:39.660",714
020033R,1,"2020-07-20 14:52:05.503",714
020033R,1,"2020-07-21 00:24:47.151",715
020033R,1,"2020-07-21 13:53:39.269",715
020033R,1,"2020-07-21 14:15:08.602",714
020033R,1,"2020-07-20 12:00:19.344",715
020033R,1,"2020-07-20 19:31:18.093",714
020033R,1,"2020-07-22 01:49:29.427",717
020033R,1,"2020-07-20 17:15:17.572",714
020033R,1,"2020-07-20 15:35:04.878",716
020033R,1,"2020-07-20 20:57:13.590",715
020033R,1,"2020-07-21 10:26:05.248",715
020033R,1,"2020-07-20 16:10:52.682",715
020033R,1,"2020-07-21 20:34:36.032",714
020033R,1,"2020-07-21 15:48:15.236",716
020033R,1,"2020-07-21 07:55:47.586",716
020033R,1,"2020-07-20 15:56:35.574",716
020033R,1,"2020-07-21 16:02:34.863",716
020033R,1,"2020-07-22 09:27:41.361",714
020033R,1,"2020-07-22 09:34:51.221",714
020033R,1,"2020-07-21 12:56:28.083",715
020033R,1,"2020-07-21 03:31:00.953",716
020033R,1,"2020-07-21 23:40:43.895",714
020033R,1,"2020-07-21 00:10:34.769",716
020033R,1,"2020-07-22 05:31:28.914",714
020033R,1,"2020-07-21 00:17:45.415",717
020033R,1,"2020-07-21 01:00:42.878",715
020033R,1,"2020-07-22 08:37:38.242",716
020033R,1,"2020-07-21 06:37:09.022",715
020033R,1,"2020-07-22 05:24:20.847",716
020033R,1,"2020-07-20 22:08:56.825",715
020033R,1,"2020-07-20 19:38:37.280",714
020033R,1,"2020-07-22 04:19:58.152",714
020033R,1,"2020-07-20 16:32:29.820",715
020033R,1,"2020-07-20 19:52:58.995",715
020033R,1,"2020-07-21 20:56:15.099",714
020033R,1,"2020-07-20 19:45:50.675",714
020033R,1,"2020-07-22 02:04:02.167",716
020033R,1,"2020-07-20 17:51:17.805",715
020033R,1,"2020-07-21 08:53:14.905",714
020033R,1,"2020-07-21 09:57:40.547",715
020033R,1,"2020-07-22 10:03:40.041",715
020033R,1,"2020-07-20 16:46:53.384",715
020033R,1,"2020-07-20 18:34:15.647",715
020033R,1,"2020-07-22 06:57:32.110",715
020033R,1,"2020-07-21 08:31:48.187",714
020033R,1,"2020-07-22 06:36:04.515",714
020033R,1,"2020-07-21 12:49:30.541",715
020033R,1,"2020-07-20 14:38:05.760",715
020033R,1,"2020-07-21 05:32:53.418",715
020033R,1,"2020-07-21 23:55:15.495",716
020033R,1,"2020-07-21 04:14:09.418",714
020033R,1,"2020-07-22 10:18:02.612",716
020033R,1,"2020-07-20 12:57:54.833",715
020033R,1,"2020-07-21 16:10:01.195",715
020033R,1,"2020-07-20 21:33:20.489",715
020033R,1,"2020-07-20 19:24:29.559",715
020033R,1,"2020-07-21 21:10:42.586",714
020033R,1,"2020-07-20 17:37:05.734",715
020033R,1,"2020-07-20 13:05:06.086",715
020033R,1,"2020-07-21 18:40:22.620",716
020033R,1,"2020-07-22 03:08:35.134",715
020033R,1,"2020-07-20 18:12:54.657",715
020033R,1,"2020-07-20 14:02:23.523",714
020033R,1,"2020-07-21 17:14:29.707",714
020033R,1,"2020-07-21 02:19:43.842",713
020033R,1,"2020-07-21 13:18:16.461",714
020033R,1,"2020-07-22 01:42:43.336",716
020033R,1,"2020-07-22 04:05:52.890",714
020033R,1,"2020-07-21 12:13:49.960",715
020033R,1,"2020-07-21 10:12:09.074",716
020033R,1,"2020-07-21 06:44:35.046",714
020033R,1,"2020-07-20 18:55:55.818",715
020033R,1,"2020-07-20 20:14:40.566",715
020033R,1,"2020-07-20 13:48:07.167",714
020033R,1,"2020-07-20 21:40:35.018",714
020033R,1,"2020-07-21 03:45:39.674",715
020033R,1,"2020-07-22 07:40:40.942",715
020033R,1,"2020-07-20 18:41:37.639",715
020033R,1,"2020-07-20 14:31:05.653",714
020033R,1,"2020-07-21 23:33:56.676",713
020033R,1,"2020-07-21 07:41:53.856",714
020033R,1,"2020-07-21 10:19:23.671",716
020033R,1,"2020-07-21 09:00:39.996",714
020033R,1,"2020-07-21 21:18:00.617",715
020033R,1,"2020-07-21 08:46:22.434",714
020033R,1,"2020-07-20 17:44:25.585",716
020033R,1,"2020-07-20 16:18:31.942",718
020033R,1,"2020-07-21 17:57:35.397",715
020033R,1,"2020-07-20 11:46:33.077",716
020033R,1,"2020-07-20 16:04:15.463",716
020033R,1,"2020-07-21 14:51:30.865",715
020033R,1,"2020-07-22 07:12:11.172",715
020033R,1,"2020-07-22 03:15:57.098",714
020033R,1,"2020-07-21 01:29:48.892",714
020033R,1,"2020-07-22 01:07:07.946",715
020033R,1,"2020-07-22 04:27:33.561",714
020033R,1,"2020-07-22 09:49:42.392",715
020033R,1,"2020-07-21 16:46:05.589",715
020033R,1,"2020-07-22 03:37:28.236",715
