"","date_time","laser_tag","laser_reading","second_run_tag","second_run_encoder","third_run_tag","third_run_encoder"
"73","2020-07-12 23:54:28.076","021053R",73.7847569513903,"020053R",166,"020063R",70
"74","2020-07-13 00:05:14.017","021053L",193.078615723145,"020053L",1238,"020063L",70
"75","2020-07-13 03:37:38.596","021053L",194.138827765553,"020053L",1240,"020063L",71
"76","2020-07-13 05:13:45.536","021053R",155.461092218444,"020053R",0,"020063R",71
"77","2020-07-13 17:07:00.896","021053R",322.914582916583,"020053R",0,"020063R",71
"78","2020-07-13 18:55:20.997","021053R",128.255651130226,"020053R",0,"020063R",70
"79","2020-07-13 19:06:28.130","021053R",128.405681136227,"020053R",0,"020063R",70
"80","2020-07-14 05:17:02.539","021053R",220.084016803361,"020053R",862,"020063R",71
"81","2020-07-14 05:23:03.476","021053R",221.104220844169,"020053R",866,"020063R",70
"82","2020-07-14 05:25:15.645","021053R",219.583916783357,"020053R",860,"020063R",71
"83","2020-07-14 05:29:09.137","021053R",219.623924784957,"020053R",860,"020063R",71
"84","2020-07-14 05:32:48.080","021053R",219.323864772955,"020053R",860,"020063R",71
"85","2020-07-14 14:57:51.732","021053R",49.4898979795959,"020053R",1238,"020063R",70
"86","2020-07-14 15:13:20.952","021053R",182.50650130026,"020053R",680,"020063R",70
"87","2020-07-14 18:23:21.764","021053R",128.585717143429,"020053R",0,"020063R",70
"88","2020-07-14 18:45:14.257","021053L",253.240648129626,"020053L",1006,"020063L",71
"89","2020-07-15 07:56:15.833","021053L",310.00200040008,"020053L",1238,"020063L",71
"90","2020-07-20 14:22:36.283","021053L",144.878975795159,"020053L",362,"020063L",1
"91","2020-07-20 14:56:26.112","021053R",42958244.2388478,"020053R",0,"020063R",1
"92","2020-07-21 15:58:06.671","021053L",99.3198639727946,"020053L",1236,"020063L",70
"93","2020-07-21 16:35:27.015","021053R",305.821164232847,"020053R",1242,"020063R",71
"94","2020-07-22 05:36:58.652","021053R",66.0432086417283,"020053R",1238,"020063R",71
"95","2020-07-22 06:30:46.605","021053R",42958210.0820164,"020053R",1238,"020063R",70
