prop_tag,prop_status,date_time,prop_value
020093R,1,"2020-06-27 21:29:48.854",774
021333R,1,"2020-06-27 21:29:48.854",5.85243268
020123R,1,"2020-06-27 21:29:48.860",136
021343R,1,"2020-06-27 21:29:48.860",1.0734919325
020033R,1,"2020-06-27 21:29:48.864",717
021313R,1,"2020-06-27 21:29:48.864",2.069438905
020053R,1,"2020-06-27 21:29:48.869",1236
020063R,1,"2020-06-27 21:29:48.869",70
021323R,1,"2020-06-27 21:29:48.869",2.5253013100000006
021053R,1,"2020-06-27 21:29:48.869",298.30966193238646
020093R,1,"2020-06-27 16:07:40.765",774
021333R,1,"2020-06-27 16:07:40.765",2.2669397425
020123R,1,"2020-06-27 16:07:40.770",136
021343R,1,"2020-06-27 16:07:40.770",0.9313787825000002
020033R,1,"2020-06-27 16:07:40.775",716
021313R,1,"2020-06-27 16:07:40.775",1.9191284800000004
020053R,1,"2020-06-27 16:07:40.779",1238
020063R,1,"2020-06-27 16:07:40.779",70
021323R,1,"2020-06-27 16:07:40.779",0.004040295
021053R,1,"2020-06-27 16:07:40.779",299.499899979996
020093R,1,"2020-06-24 13:19:27.790",776
021333R,1,"2020-06-24 13:19:27.790",2.586802405
020123R,1,"2020-06-24 13:19:27.796",136
021343R,1,"2020-06-24 13:19:27.796",1.0727024150000002
020033R,1,"2020-06-24 13:19:27.800",716
021313R,1,"2020-06-24 13:19:27.800",2.0987098825
020053R,1,"2020-06-24 13:19:27.805",1240
020063R,1,"2020-06-24 13:19:27.805",71
021323R,1,"2020-06-24 13:19:27.805",2.550027375
021053R,1,"2020-06-24 13:19:27.805",298.499699939988
020093R,1,"2020-06-29 07:51:23.135",776
021333R,1,"2020-06-29 07:51:23.135",2.239021555
020123R,1,"2020-06-29 07:51:23.140",136
021343R,1,"2020-06-29 07:51:23.140",1.4808829625000004
020033R,1,"2020-06-29 07:51:23.144",716
021313R,1,"2020-06-29 07:51:23.144",1.9713415750000003
020053R,1,"2020-06-29 07:51:23.149",1238
020063R,1,"2020-06-29 07:51:23.149",71
021323R,1,"2020-06-29 07:51:23.149",0.0096236
021053R,1,"2020-06-29 07:51:23.149",297.55951190238045
020093R,1,"2020-06-25 03:31:17.493",774
021333R,1,"2020-06-25 03:31:17.493",2.3546826175
020123R,1,"2020-06-25 03:31:17.502",136
021343R,1,"2020-06-25 03:31:17.502",0.8808496625000002
020033R,1,"2020-06-25 03:31:17.508",715
021313R,1,"2020-06-25 03:31:17.508",2.08684327
020053R,1,"2020-06-25 03:31:17.513",1240
020063R,1,"2020-06-25 03:31:17.513",71
021323R,1,"2020-06-25 03:31:17.513",0
021053R,1,"2020-06-25 03:31:17.513",300.06001200240047
020093R,1,"2020-06-25 07:06:02.982",777
021333R,1,"2020-06-25 07:06:02.982",2.4137096424999998
020123R,1,"2020-06-25 07:06:02.989",136
021343R,1,"2020-06-25 07:06:02.989",0.8421633050000001
020033R,1,"2020-06-25 07:06:02.994",714
021313R,1,"2020-06-25 07:06:02.994",1.9713415750000003
020053R,1,"2020-06-25 07:06:02.999",1236
020063R,1,"2020-06-25 07:06:02.999",71
021323R,1,"2020-06-25 07:06:02.999",2.6473364050000003
021053R,1,"2020-06-25 07:06:02.999",298.6597319463893
020093R,1,"2020-06-26 15:11:38.140",775
021333R,1,"2020-06-26 15:11:38.140",2.3506943049999998
020123R,1,"2020-06-26 15:11:38.146",135
021343R,1,"2020-06-26 15:11:38.146",4.780276595
020033R,1,"2020-06-26 15:11:38.151",716
021313R,1,"2020-06-26 15:11:38.151",2.0797233025
020053R,1,"2020-06-26 15:11:38.156",1238
020063R,1,"2020-06-26 15:11:38.156",70
021323R,1,"2020-06-26 15:11:38.156",2.2923977300000002
021053R,1,"2020-06-26 15:11:38.156",298.8097619523905
020093R,1,"2020-06-27 13:15:54.819",775
021333R,1,"2020-06-27 13:15:54.819",2.2238659675
020123R,1,"2020-06-27 13:15:54.824",135
021343R,1,"2020-06-27 13:15:54.824",1.3490335400000002
020033R,1,"2020-06-27 13:15:54.829",715
021313R,1,"2020-06-27 13:15:54.829",5.249691055000001
020053R,1,"2020-06-27 13:15:54.833",1238
020063R,1,"2020-06-27 13:15:54.833",70
021323R,1,"2020-06-27 13:15:54.833",2.9639895600000004
021053R,1,"2020-06-27 13:15:54.833",299.82996599319864
020123R,1,"2020-06-24 07:49:35.296",276
020033R,1,"2020-06-24 07:50:09.305",1430
020093R,1,"2020-06-28 09:18:30.726",773
021333R,1,"2020-06-28 09:18:30.726",2.5381449925
020123R,1,"2020-06-28 09:18:30.732",135
021343R,1,"2020-06-28 09:18:30.732",1.3608763025000001
020033R,1,"2020-06-28 09:18:30.737",715
021313R,1,"2020-06-28 09:18:30.737",2.3344599175000003
020053R,1,"2020-06-28 09:18:30.741",1236
020063R,1,"2020-06-28 09:18:30.741",70
021323R,1,"2020-06-28 09:18:30.741",3.074858045
021053R,1,"2020-06-28 09:18:30.741",300.2600520104021
020093R,1,"2020-06-27 04:54:52.307",775
021333R,1,"2020-06-27 04:54:52.307",2.9704780674999998
020123R,1,"2020-06-27 04:54:52.312",137
021343R,1,"2020-06-27 04:54:52.312",1.2898197275
020033R,1,"2020-06-27 04:54:52.806",715
021313R,1,"2020-06-27 04:54:52.806",1.860586525
020053R,1,"2020-06-27 04:54:52.816",1238
020063R,1,"2020-06-27 04:54:52.816",71
021323R,1,"2020-06-27 04:54:52.816",2.3546117000000004
021053R,1,"2020-06-27 04:54:52.816",299.15983196639326
020053R,1,"2020-06-24 04:22:18.127",929
020063R,1,"2020-06-24 04:22:18.133",144
021053R,1,"2020-06-24 04:22:18.133",297
020093R,1,"2020-06-28 17:53:56.021",775
021333R,1,"2020-06-28 17:53:56.021",2.9999915799999997
020123R,1,"2020-06-28 17:53:56.026",137
